date,ticker,shares,mark_price,mark_value
2024-05-20,PVD,4900,31635.87196467991,155015772.62693158
2024-05-20,CTD,2300,65560.74954682015,150789723.95768636
2024-05-20,PVT,7000,21845.510978584967,152918576.85009477
2024-05-21,PVD,4900,32173.73068432671,157651280.35320088
2024-05-21,CTD,2300,67600.82944785274,155481907.7300613
2024-05-21,PVT,7000,22332.63214963403,156328425.04743823
2024-05-22,PVD,4900,31782.560706401768,155734547.46136865
2024-05-22,CTD,2300,66580.78949733645,153135815.84387383
2024-05-22,PVT,7000,21733.098400650568,152131688.804554
2024-05-22,TCH,9600,15835.875884594463,152024408.49210685
2024-05-23,PVD,4900,32271.523178807947,158130463.57615894
2024-05-23,CTD,2300,67693.56035244513,155695188.8106238
2024-05-23,PVT,7000,21882.981837896434,153180872.86527503
2024-05-23,TCH,9600,16082.029395753962,154387482.19923803
2024-05-24,PVD,4900,31000.220750551875,151901081.6777042
2024-05-24,CTD,2300,66302.59678355927,152495972.60218632
2024-05-24,PVT,7000,21957.923556519367,153705464.89563558
2024-05-24,TCH,9600,15097.415351115964,144935187.37071326
2024-05-27,CTD,2300,66117.1349743745,152069410.44106135
2024-05-27,PVT,7000,22819.753320683096,159738273.24478167
2024-05-27,TCH,9600,15712.799129014713,150842871.63854125
2024-05-28,CTD,2300,69733.64025347773,160387372.58299878
2024-05-28,PVT,7000,22819.753320683096,159738273.24478167
2024-05-29,CTD,2300,68435.40758918427,157401437.4551238
2024-05-29,PVT,7000,22594.928164814297,158164497.15370008
2024-05-30,CTD,2300,67137.17492489079,154415502.3272488
2024-05-30,PVT,7000,23156.991054486294,162098937.38140407
2024-05-31,CTD,2300,67229.90582948318,154628783.4078113
2024-05-31,PVT,7000,22632.399024125763,158426793.16888034
2024-06-03,CTD,2300,67786.29125703752,155908469.8911863
2024-06-03,PVT,7000,22857.224179994562,160000569.25996193
2024-06-04,CTD,2300,67693.56035244513,155695188.8106238
2024-06-04,PVT,7000,22969.63675792896,160787457.30550274
2024-06-05,CTD,2300,67044.4440202984,154202221.2466863
2024-06-05,PVT,7000,22632.399024125763,158426793.16888034
2024-06-06,CTD,2300,67044.4440202984,154202221.2466863
2024-06-06,PVT,7000,22707.340742748696,158951385.19924086
2024-06-07,CTD,2300,67322.63673407557,154842064.48837382
2024-06-07,PVT,7000,22932.165898617495,160525161.29032245
2024-06-10,CTD,2300,68991.79301673861,158681123.9384988
2024-06-10,PVT,7000,24206.17511520736,169443225.80645153
2024-06-11,CTD,2300,68806.33120755383,158254561.7773738
2024-06-11,PVT,7000,23606.641366223892,165246489.56356725
2024-06-12,CTD,2300,68620.86939836905,157827999.61624882
2024-06-12,PVT,7000,23456.757928978026,164197305.50284618
2024-06-13,CTD,2300,68064.48397081469,156548313.13287377
2024-06-13,PVT,7000,23531.69964760096,164721897.5332067
2024-06-14,CTD,2300,67322.63673407557,154842064.48837382
2024-06-14,PVT,7000,22707.340742748696,158951385.19924086
2024-06-17,CTD,2300,66766.25130652123,153562378.00499883
2024-06-17,PVT,7000,22594.928164814297,158164497.15370008
2024-06-18,CTD,2300,68157.21487540708,156761594.21343628
2024-06-18,PVT,7000,22819.753320683096,159738273.24478167
2024-06-19,CTD,2300,70753.68020399402,162733464.46918625
2024-06-19,PVT,7000,22707.340742748696,158951385.19924086
2024-06-20,CTD,2300,70939.1420131788,163160026.63031125
2024-06-20,PVT,7000,22145.2778530767,155016944.9715369
2024-06-21,CTD,2300,70660.94929940163,162520183.38862374
2024-06-21,PVT,7000,22407.573868256964,156853017.07779875
2024-06-24,CTD,2300,67693.56035244513,155695188.8106238
2024-06-24,PVT,7000,21283.44808891297,148984136.62239078
